"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-4.54074247429779,6.43344523372034,-0.705802615758332,0.480310895166155
"performance_index",-0.636864740985456,0.599548704926365,-1.06224020793052,0.288126650729685
"trust_num",1.62675136448614,0.477117602632411,3.40953960933496,0.000650726277514631
"corrupt_num",-0.35341797503412,0.288014229128582,-1.22708512042417,0.219790599780246
"age25-30",-1.14676040256819,2.06909304300099,-0.554233366376285,0.579419145959739
"age31-40",0.988844976790351,1.95349221683305,0.506193456144627,0.61272084839938
"age41-50",1.76485580791716,2.10934879253284,0.836682778194294,0.402770902025512
"age60+",-0.50849596481796,2.51923139091503,-0.201845676682071,0.840037371563538
"genderMale",1.71175683775013,1.36103382609682,1.25768868115432,0.208504367323769
"educational_qualificationGraduate diploma/degree",-0.132353802648299,5.49345469252292,-0.0240929997708808,0.980778427076899
"educational_qualificationPost graduate",0.917499524496204,5.4878513404941,0.167187386751186,0.867222608651908
